Year,District,Country,Population
2009,Askim-Frölunda-Högsbo,Övriga Afrika,202
2009,Askim-Frölunda-Högsbo,Övriga Asien,321
2009,Askim-Frölunda-Högsbo,Övriga Europa,561
2009,Askim-Frölunda-Högsbo,Övriga Nordamerika,98
2009,Askim-Frölunda-Högsbo,Övriga Oceanien,40
2009,Askim-Frölunda-Högsbo,Övriga Sydamerika,101
2010,Askim-Frölunda-Högsbo,Afghanistan,89
2010,Askim-Frölunda-Högsbo,Bolivia,34
2010,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,330
2010,Askim-Frölunda-Högsbo,Brasilien,64
2010,Askim-Frölunda-Högsbo,Chile,151
2010,Askim-Frölunda-Högsbo,Colombia,63
2010,Askim-Frölunda-Högsbo,Danmark,245
2010,Askim-Frölunda-Högsbo,Eritrea,32
2010,Askim-Frölunda-Högsbo,Estland,59
2010,Askim-Frölunda-Högsbo,Etiopien,87
2010,Askim-Frölunda-Högsbo,Filippinerna,91
2010,Askim-Frölunda-Högsbo,Finland,431
2010,Askim-Frölunda-Högsbo,Frankrike,143
2010,Askim-Frölunda-Högsbo,Grekland,61
2010,Askim-Frölunda-Högsbo,Indien,136
2010,Askim-Frölunda-Högsbo,Irak,552
2010,Askim-Frölunda-Högsbo,Iran,1090
2010,Askim-Frölunda-Högsbo,Italien,80
2010,Askim-Frölunda-Högsbo,Jugoslavien,303
2010,Askim-Frölunda-Högsbo,Kina,287
2010,Askim-Frölunda-Högsbo,Korea Syd-,81
2010,Askim-Frölunda-Högsbo,Kroatien,42
2010,Askim-Frölunda-Högsbo,Libanon,159
2010,Askim-Frölunda-Högsbo,Makedonien,46
2010,Askim-Frölunda-Högsbo,Marocko,46
2010,Askim-Frölunda-Högsbo,Norge,334
2010,Askim-Frölunda-Högsbo,Okänt,0
2010,Askim-Frölunda-Högsbo,Pakistan,100
2010,Askim-Frölunda-Högsbo,Polen,380
2010,Askim-Frölunda-Högsbo,Portugal,31
2010,Askim-Frölunda-Högsbo,Rumänien,136
2010,Askim-Frölunda-Högsbo,Ryssland,123
2010,Askim-Frölunda-Högsbo,Somalia,116
2010,Askim-Frölunda-Högsbo,Spanien,88
2010,Askim-Frölunda-Högsbo,Storbritannien och Nordirland,216
2010,Askim-Frölunda-Högsbo,Syrien,86
2010,Askim-Frölunda-Högsbo,Thailand,189
2010,Askim-Frölunda-Högsbo,Turkiet,212
2010,Askim-Frölunda-Högsbo,Tyskland,317
2010,Askim-Frölunda-Högsbo,Ungern,130
2010,Askim-Frölunda-Högsbo,USA,142
2010,Askim-Frölunda-Högsbo,Vietnam,129
2010,Askim-Frölunda-Högsbo,Övriga Afrika,220
2010,Askim-Frölunda-Högsbo,Övriga Asien,301
2010,Askim-Frölunda-Högsbo,Övriga Europa,594
2010,Askim-Frölunda-Högsbo,Övriga Nordamerika,103
2010,Askim-Frölunda-Högsbo,Övriga Oceanien,42
2010,Askim-Frölunda-Högsbo,Övriga Sydamerika,103
2011,Askim-Frölunda-Högsbo,Afghanistan,102
2011,Askim-Frölunda-Högsbo,Bolivia,30
2011,Askim-Frölunda-Högsbo,Bosnien och Hercegovina,335
2011,Askim-Frölunda-Högsbo,Brasilien,76
2011,Askim-Frölunda-Högsbo,Chile,145
2011,Askim-Frölunda-Högsbo,Colombia,75
2011,Askim-Frölunda-Högsbo,Danmark,241
2011,Askim-Frölunda-Högsbo,Eritrea,35
